,Municipal,County,State,Region,Five_Year_Range,Total_Pop,Pov_Pop,Percent_Pov,Margin_Error_Percent
988,Petersham,Worcester County,MA,Petersham,2008-2012,1171,90,7.7,6.2
989,Phillipston,Worcester County,MA,Phillipston,2005-2009,1864,81,4.3,2
990,Phillipston,Worcester County,MA,Phillipston,2006-2010,1849,65,3.5,1.5
991,Phillipston,Worcester County,MA,Phillipston,2007-2011,1880,82,4.4,1.8
992,Phillipston,Worcester County,MA,Phillipston,2008-2012,1929,71,3.7,1.7
993,Pittsfield,Berkshire County,MA,Pittsfield,2005-2009,41754,6833,16.4,2.1
994,Pittsfield,Berkshire County,MA,Pittsfield,2006-2010,43517,6949,16,2.2
995,Pittsfield,Berkshire County,MA,Pittsfield,2007-2011,43532,6932,15.9,1.8
996,Pittsfield,Berkshire County,MA,Pittsfield,2008-2012,43529,7097,16.3,1.7
997,Plainfield,Hampshire County,MA,Plainfield,2005-2009,646,49,7.6,5.1
998,Plainfield,Hampshire County,MA,Plainfield,2006-2010,611,32,5.2,3.1
999,Plainfield,Hampshire County,MA,Plainfield,2007-2011,588,46,7.8,3.9
1000,Plainfield,Hampshire County,MA,Plainfield,2008-2012,535,45,8.4,3.4
1001,Plainville,Norfolk County,MA,Plainville,2005-2009,8167,306,3.7,1.9
1002,Plainville,Norfolk County,MA,Plainville,2006-2010,8091,340,4.2,2.2
1003,Plainville,Norfolk County,MA,Plainville,2007-2011,8176,394,4.8,2.4
1004,Plainville,Norfolk County,MA,Plainville,2008-2012,8278,390,4.7,1.9
1005,Plymouth,Plymouth County,MA,Plymouth,2005-2009,53713,2964,5.5,1.1
1006,Plymouth,Plymouth County,MA,Plymouth,2006-2010,53447,3459,6.5,1.2
1007,Plymouth,Plymouth County,MA,Plymouth,2007-2011,53821,3376,6.3,1.3
1008,Plymouth,Plymouth County,MA,Plymouth,2008-2012,54460,3509,6.4,1.2
1009,NA,Plymouth County,MA,Plymouth County,2005-2009,475968,31443,6.6,0.4
1010,NA,Plymouth County,MA,Plymouth County,2006-2010,477030,33604,7,0.4
1011,NA,Plymouth County,MA,Plymouth County,2007-2011,481335,34422,7.2,0.4
1012,NA,Plymouth County,MA,Plymouth County,2008-2012,484074,36251,7.5,0.4
1013,Plympton,Plymouth County,MA,Plympton,2005-2009,2754,101,3.7,1.7
1014,Plympton,Plymouth County,MA,Plympton,2006-2010,2777,73,2.6,1.6
1015,Plympton,Plymouth County,MA,Plympton,2007-2011,2799,114,4.1,2
1016,Plympton,Plymouth County,MA,Plympton,2008-2012,2817,127,4.5,2.1
1017,Princeton,Worcester County,MA,Princeton,2005-2009,3539,85,2.4,1.9
1018,Princeton,Worcester County,MA,Princeton,2006-2010,3406,42,1.2,1.1
1019,Princeton,Worcester County,MA,Princeton,2007-2011,3412,95,2.8,1.9
1020,Princeton,Worcester County,MA,Princeton,2008-2012,3423,149,4.4,2.3
1021,Provincetown,Barnstable County,MA,Provincetown,2005-2009,3322,308,9.3,3.7
1022,Provincetown,Barnstable County,MA,Provincetown,2006-2010,2981,262,8.8,4
1023,Provincetown,Barnstable County,MA,Provincetown,2007-2011,2865,442,15.4,3.5
1024,Provincetown,Barnstable County,MA,Provincetown,2008-2012,2874,420,14.6,3.5
1025,Quincy,Norfolk County,MA,Quincy,2005-2009,88868,8060,9.1,1.1
1026,Quincy,Norfolk County,MA,Quincy,2006-2010,89653,8776,9.8,1.1
1027,Quincy,Norfolk County,MA,Quincy,2007-2011,90461,9407,10.4,1.1
1028,Quincy,Norfolk County,MA,Quincy,2008-2012,91061,9078,10,1
1029,Randolph,Norfolk County,MA,Randolph,2005-2009,30076,1585,5.3,1.7
1030,Randolph,Norfolk County,MA,Randolph,2006-2010,31447,2234,7.1,2.1
1031,Randolph,Norfolk County,MA,Randolph,2007-2011,31569,2644,8.4,2.5
1032,Randolph,Norfolk County,MA,Randolph,2008-2012,32008,3043,9.5,2.4
1033,Raynham,Bristol County,MA,Raynham,2005-2009,13480,397,2.9,1.7
1034,Raynham,Bristol County,MA,Raynham,2006-2010,13074,305,2.3,1.3
1035,Raynham,Bristol County,MA,Raynham,2007-2011,13076,316,2.4,1.1
1036,Raynham,Bristol County,MA,Raynham,2008-2012,13200,732,5.5,3.2
1037,Reading,Middlesex County,MA,Reading,2005-2009,23036,370,1.6,0.6
1038,Reading,Middlesex County,MA,Reading,2006-2010,24112,419,1.7,0.7
1039,Reading,Middlesex County,MA,Reading,2007-2011,24371,462,1.9,0.7
1040,Reading,Middlesex County,MA,Reading,2008-2012,24613,342,1.4,0.6
1041,Rehoboth,Bristol County,MA,Rehoboth,2005-2009,11290,624,5.5,2.9
1042,Rehoboth,Bristol County,MA,Rehoboth,2006-2010,11292,524,4.6,2.6
1043,Rehoboth,Bristol County,MA,Rehoboth,2007-2011,11398,513,4.5,2.2
1044,Rehoboth,Bristol County,MA,Rehoboth,2008-2012,11449,464,4.1,1.9
1045,Revere,Suffolk County,MA,Revere,2005-2009,50105,5558,11.1,1.6
1046,Revere,Suffolk County,MA,Revere,2006-2010,49607,7278,14.7,2.2
1047,Revere,Suffolk County,MA,Revere,2007-2011,50521,8204,16.2,2.2
1048,Revere,Suffolk County,MA,Revere,2008-2012,51455,8234,16,2.7
1049,Richmond,Berkshire County,MA,Richmond,2005-2009,1830,45,2.5,1.5
1050,Richmond,Berkshire County,MA,Richmond,2006-2010,1702,55,3.2,1.7
1051,Richmond,Berkshire County,MA,Richmond,2007-2011,1663,49,2.9,1.4
1052,Richmond,Berkshire County,MA,Richmond,2008-2012,1599,51,3.2,1.6
1053,Rochester,Plymouth County,MA,Rochester,2005-2009,5173,154,3,2.6
1054,Rochester,Plymouth County,MA,Rochester,2006-2010,5056,184,3.6,2.6
1055,Rochester,Plymouth County,MA,Rochester,2007-2011,5122,248,4.8,3.1
1056,Rochester,Plymouth County,MA,Rochester,2008-2012,5197,316,6.1,2.7
1057,Rockland,Plymouth County,MA,Rockland,2005-2009,17803,1621,9.1,3.3
1058,Rockland,Plymouth County,MA,Rockland,2006-2010,17442,984,5.6,2.1
1059,Rockland,Plymouth County,MA,Rockland,2007-2011,17354,949,5.5,1.8
1060,Rockland,Plymouth County,MA,Rockland,2008-2012,17349,1023,5.9,2.5
1061,Rockport,Essex County,MA,Rockport,2005-2009,7621,366,4.8,1.8
1062,Rockport,Essex County,MA,Rockport,2006-2010,7053,263,3.7,1.3
1063,Rockport,Essex County,MA,Rockport,2007-2011,6950,313,4.5,1.8
1064,Rockport,Essex County,MA,Rockport,2008-2012,6949,304,4.4,1.7
1065,Rowe,Franklin County,MA,Rowe,2005-2009,418,38,9.1,4.4
1066,Rowe,Franklin County,MA,Rowe,2006-2010,386,47,12.2,5.4
1067,Rowe,Franklin County,MA,Rowe,2007-2011,384,40,10.4,4.7
1068,Rowe,Franklin County,MA,Rowe,2008-2012,449,70,15.6,9
1069,Rowley,Essex County,MA,Rowley,2005-2009,5726,204,3.6,3.3
1070,Rowley,Essex County,MA,Rowley,2006-2010,5757,476,8.3,7.4
1071,Rowley,Essex County,MA,Rowley,2007-2011,5760,540,9.4,7.1
1072,Rowley,Essex County,MA,Rowley,2008-2012,5767,525,9.1,6.7
1073,Royalston,Worcester County,MA,Royalston,2005-2009,1342,56,4.2,2.5
1074,Royalston,Worcester County,MA,Royalston,2006-2010,1100,45,4.1,2.9
1075,Royalston,Worcester County,MA,Royalston,2007-2011,1056,95,9,3.9
1076,Royalston,Worcester County,MA,Royalston,2008-2012,1049,100,9.5,4.2
1077,Russell,Hampden County,MA,Russell,2005-2009,1827,132,7.2,3.4
1078,Russell,Hampden County,MA,Russell,2006-2010,1658,104,6.3,3.4
1079,Russell,Hampden County,MA,Russell,2007-2011,1838,85,4.6,2.5
1080,Russell,Hampden County,MA,Russell,2008-2012,1735,74,4.3,3
1081,Rutland,Worcester County,MA,Rutland,2005-2009,7745,397,5.1,2.9
1082,Rutland,Worcester County,MA,Rutland,2006-2010,7594,372,4.9,2.9
1083,Rutland,Worcester County,MA,Rutland,2007-2011,7733,338,4.4,2.8
1084,Rutland,Worcester County,MA,Rutland,2008-2012,7939,369,4.6,2.8
1085,Salem,Essex County,MA,Salem,2005-2009,40478,4571,11.3,2
1086,Salem,Essex County,MA,Salem,2006-2010,39806,4300,10.8,1.7
1087,Salem,Essex County,MA,Salem,2007-2011,39576,4859,12.3,1.9
1088,Salem,Essex County,MA,Salem,2008-2012,39923,5418,13.6,1.8
1089,Salisbury,Essex County,MA,Salisbury,2005-2009,8414,785,9.3,3.6
1090,Salisbury,Essex County,MA,Salisbury,2006-2010,8143,525,6.4,1.8
1091,Salisbury,Essex County,MA,Salisbury,2007-2011,8168,484,5.9,1.7
1092,Salisbury,Essex County,MA,Salisbury,2008-2012,8231,401,4.9,1.5
1093,Sandisfield,Berkshire County,MA,Sandisfield,2005-2009,786,49,6.2,3.5
1094,Sandisfield,Berkshire County,MA,Sandisfield,2006-2010,831,37,4.5,2.9
1095,Sandisfield,Berkshire County,MA,Sandisfield,2007-2011,941,42,4.5,2.5
1096,Sandisfield,Berkshire County,MA,Sandisfield,2008-2012,839,36,4.3,2.4
1097,Sandwich,Barnstable County,MA,Sandwich,2005-2009,19743,507,2.6,1
1098,Sandwich,Barnstable County,MA,Sandwich,2006-2010,20314,461,2.3,0.9
1099,Sandwich,Barnstable County,MA,Sandwich,2007-2011,20285,689,3.4,1.2
1100,Sandwich,Barnstable County,MA,Sandwich,2008-2012,20251,766,3.8,1.7
1101,Saugus,Essex County,MA,Saugus,2005-2009,26741,1320,4.9,1.4
1102,Saugus,Essex County,MA,Saugus,2006-2010,26050,1338,5.1,1.3
1103,Saugus,Essex County,MA,Saugus,2007-2011,26267,1320,5,1.5
1104,Saugus,Essex County,MA,Saugus,2008-2012,26507,1562,5.9,1.7
1105,Savoy,Berkshire County,MA,Savoy,2005-2009,763,48,6.3,3.8
1106,Savoy,Berkshire County,MA,Savoy,2006-2010,747,36,4.8,3.1
1107,Savoy,Berkshire County,MA,Savoy,2007-2011,702,44,6.3,3.5
1108,Savoy,Berkshire County,MA,Savoy,2008-2012,659,45,6.8,3.6
1109,Scituate,Plymouth County,MA,Scituate,2005-2009,18083,629,3.5,1.7
1110,Scituate,Plymouth County,MA,Scituate,2006-2010,18002,550,3.1,1.5
1111,Scituate,Plymouth County,MA,Scituate,2007-2011,17969,603,3.4,1.6
1112,Scituate,Plymouth County,MA,Scituate,2008-2012,17972,521,2.9,1
1113,Seekonk,Bristol County,MA,Seekonk,2005-2009,13533,607,4.5,1.9
1114,Seekonk,Bristol County,MA,Seekonk,2006-2010,13624,580,4.3,1.8
1115,Seekonk,Bristol County,MA,Seekonk,2007-2011,13630,519,3.8,1.8
1116,Seekonk,Bristol County,MA,Seekonk,2008-2012,13710,590,4.3,1.8
1117,Sharon,Norfolk County,MA,Sharon,2005-2009,17274,771,4.5,1.6
1118,Sharon,Norfolk County,MA,Sharon,2006-2010,17368,768,4.4,1.7
1119,Sharon,Norfolk County,MA,Sharon,2007-2011,17464,754,4.3,1.5
1120,Sharon,Norfolk County,MA,Sharon,2008-2012,17546,611,3.5,1
1121,Sheffield,Berkshire County,MA,Sheffield,2005-2009,3319,282,8.5,4.1
1122,Sheffield,Berkshire County,MA,Sheffield,2006-2010,3261,279,8.6,4.1
1123,Sheffield,Berkshire County,MA,Sheffield,2007-2011,3254,176,5.4,3.2
1124,Sheffield,Berkshire County,MA,Sheffield,2008-2012,3244,295,9.1,6.9
1125,Shelburne,Franklin County,MA,Shelburne,2005-2009,1973,175,8.9,4.2
1126,Shelburne,Franklin County,MA,Shelburne,2006-2010,1944,152,7.8,3.8
1127,Shelburne,Franklin County,MA,Shelburne,2007-2011,1878,119,6.3,3.2
1128,Shelburne,Franklin County,MA,Shelburne,2008-2012,1840,124,6.7,3.6
1129,Sherborn,Middlesex County,MA,Sherborn,2005-2009,4230,86,2,1.8
1130,Sherborn,Middlesex County,MA,Sherborn,2006-2010,4089,121,3,2.4
1131,Sherborn,Middlesex County,MA,Sherborn,2007-2011,4102,144,3.5,2.7
1132,Sherborn,Middlesex County,MA,Sherborn,2008-2012,4128,102,2.5,1.9
1133,Shirley,Middlesex County,MA,Shirley,2005-2009,6349,446,7,3.5
1134,Shirley,Middlesex County,MA,Shirley,2006-2010,5846,459,7.9,5
1135,Shirley,Middlesex County,MA,Shirley,2007-2011,5586,553,9.9,5.9
1136,Shirley,Middlesex County,MA,Shirley,2008-2012,5585,640,11.5,6.6
1137,Shrewsbury,Worcester County,MA,Shrewsbury,2005-2009,33650,1196,3.6,1.1
1138,Shrewsbury,Worcester County,MA,Shrewsbury,2006-2010,34851,1280,3.7,1.2
1139,Shrewsbury,Worcester County,MA,Shrewsbury,2007-2011,35158,1379,3.9,1.4
1140,Shrewsbury,Worcester County,MA,Shrewsbury,2008-2012,35477,1597,4.5,1.6
1141,Shutesbury,Franklin County,MA,Shutesbury,2005-2009,1932,156,8.1,2.7
1142,Shutesbury,Franklin County,MA,Shutesbury,2006-2010,1890,157,8.3,3
1143,Shutesbury,Franklin County,MA,Shutesbury,2007-2011,1834,133,7.3,2.4
1144,Shutesbury,Franklin County,MA,Shutesbury,2008-2012,1755,119,6.8,2.4
1145,Somerset,Bristol County,MA,Somerset,2005-2009,17772,602,3.4,1.6
1146,Somerset,Bristol County,MA,Somerset,2006-2010,17650,570,3.2,1.4
1147,Somerset,Bristol County,MA,Somerset,2007-2011,17724,743,4.2,1.7
1148,Somerset,Bristol County,MA,Somerset,2008-2012,17923,1010,5.6,2
1149,Somerville,Middlesex County,MA,Somerville,2005-2009,73291,10942,14.9,1.6
1150,Somerville,Middlesex County,MA,Somerville,2006-2010,72350,10648,14.7,1.8
1151,Somerville,Middlesex County,MA,Somerville,2007-2011,72528,10824,14.9,1.8
1152,Somerville,Middlesex County,MA,Somerville,2008-2012,73047,11628,15.9,2.2
1153,South Hadley,Hampshire County,MA,South Hadley,2005-2009,14939,996,6.7,2.4
1154,South Hadley,Hampshire County,MA,South Hadley,2006-2010,15306,1055,6.9,2.7
1155,South Hadley,Hampshire County,MA,South Hadley,2007-2011,15037,1170,7.8,2.5
1156,South Hadley,Hampshire County,MA,South Hadley,2008-2012,15180,1019,6.7,2
1157,Southampton,Hampshire County,MA,Southampton,2005-2009,5790,271,4.7,2.6
1158,Southampton,Hampshire County,MA,Southampton,2006-2010,5689,282,5,3.4
1159,Southampton,Hampshire County,MA,Southampton,2007-2011,5709,334,5.9,3.5
1160,Southampton,Hampshire County,MA,Southampton,2008-2012,5803,348,6,3
1161,Southborough,Worcester County,MA,Southborough,2005-2009,9681,233,2.4,1.8
1162,Southborough,Worcester County,MA,Southborough,2006-2010,9617,124,1.3,0.9
1163,Southborough,Worcester County,MA,Southborough,2007-2011,9645,160,1.7,1.1
1164,Southborough,Worcester County,MA,Southborough,2008-2012,9725,165,1.7,1
1165,Southbridge,Worcester County,MA,Southbridge,2005-2009,17089,2500,14.6,3.4
1166,Southbridge,Worcester County,MA,Southbridge,2006-2010,16532,2093,12.7,2.7
1167,Southbridge,Worcester County,MA,Southbridge,2007-2011,16562,2684,16.2,3.1
1168,Southbridge,Worcester County,MA,Southbridge,2008-2012,16541,2662,16.1,3.6
1169,Southwick,Hampden County,MA,Southwick,2005-2009,9705,554,5.7,3.5
1170,Southwick,Hampden County,MA,Southwick,2006-2010,9360,375,4,2.6
1171,Southwick,Hampden County,MA,Southwick,2007-2011,9411,526,5.6,3.3
1172,Southwick,Hampden County,MA,Southwick,2008-2012,9459,491,5.2,2.9
1173,Spencer,Worcester County,MA,Spencer,2005-2009,12020,679,5.6,2.1
1174,Spencer,Worcester County,MA,Spencer,2006-2010,11712,745,6.4,1.7
1175,Spencer,Worcester County,MA,Spencer,2007-2011,11694,966,8.3,2.3
1176,Spencer,Worcester County,MA,Spencer,2008-2012,11697,914,7.8,2.2
1177,Springfield,Hampden County,MA,Springfield,2005-2009,146860,40299,27.4,1.4
1178,Springfield,Hampden County,MA,Springfield,2006-2010,146156,40319,27.6,1.4
1179,Springfield,Hampden County,MA,Springfield,2007-2011,146033,39386,27,1.5
1180,Springfield,Hampden County,MA,Springfield,2008-2012,146752,42117,28.7,1.4
1181,Sterling,Worcester County,MA,Sterling,2005-2009,7780,253,3.3,2
1182,Sterling,Worcester County,MA,Sterling,2006-2010,7706,232,3,1.5
1183,Sterling,Worcester County,MA,Sterling,2007-2011,7727,192,2.5,1.2
1184,Sterling,Worcester County,MA,Sterling,2008-2012,7739,171,2.2,1.2
1185,Stockbridge,Berkshire County,MA,Stockbridge,2005-2009,1533,144,9.4,7.5
1186,Stockbridge,Berkshire County,MA,Stockbridge,2006-2010,1604,140,8.7,5.5
1187,Stockbridge,Berkshire County,MA,Stockbridge,2007-2011,1710,193,11.3,6.8
1188,Stockbridge,Berkshire County,MA,Stockbridge,2008-2012,1882,197,10.5,5.6
1189,Stoneham,Middlesex County,MA,Stoneham,2005-2009,21064,1447,6.9,1.7
1190,Stoneham,Middlesex County,MA,Stoneham,2006-2010,21038,1370,6.5,1.8
1191,Stoneham,Middlesex County,MA,Stoneham,2007-2011,21134,981,4.6,1.2
1192,Stoneham,Middlesex County,MA,Stoneham,2008-2012,21237,1088,5.1,1.4
1193,Stoughton,Norfolk County,MA,Stoughton,2005-2009,25730,2091,8.1,1.8
1194,Stoughton,Norfolk County,MA,Stoughton,2006-2010,26040,2040,7.8,2
1195,Stoughton,Norfolk County,MA,Stoughton,2007-2011,26457,2210,8.4,2
1196,Stoughton,Norfolk County,MA,Stoughton,2008-2012,26838,2006,7.5,2.1
1197,Stow,Middlesex County,MA,Stow,2005-2009,6364,145,2.3,1.7
1198,Stow,Middlesex County,MA,Stow,2006-2010,6395,191,3,2.1
1199,Stow,Middlesex County,MA,Stow,2007-2011,6469,148,2.3,1.6
1200,Stow,Middlesex County,MA,Stow,2008-2012,6603,136,2.1,1.4
1201,Sturbridge,Worcester County,MA,Sturbridge,2005-2009,8775,580,6.6,2.1
1202,Sturbridge,Worcester County,MA,Sturbridge,2006-2010,8971,826,9.2,4.1
1203,Sturbridge,Worcester County,MA,Sturbridge,2007-2011,9022,840,9.3,3.6
1204,Sturbridge,Worcester County,MA,Sturbridge,2008-2012,9107,819,9,3.9
1205,Sudbury,Middlesex County,MA,Sudbury,2005-2009,16875,419,2.5,0.9
1206,Sudbury,Middlesex County,MA,Sudbury,2006-2010,17058,370,2.2,0.8
1207,Sudbury,Middlesex County,MA,Sudbury,2007-2011,17290,374,2.2,0.9
1208,Sudbury,Middlesex County,MA,Sudbury,2008-2012,17513,251,1.4,0.6
1209,NA,Suffolk County,MA,Suffolk County,2005-2009,695288,128504,18.5,0.6
1210,NA,Suffolk County,MA,Suffolk County,2006-2010,667668,137697,20.6,0.5
1211,NA,Suffolk County,MA,Suffolk County,2007-2011,674038,140057,20.8,0.5
1212,NA,Suffolk County,MA,Suffolk County,2008-2012,684327,141698,20.7,0.6
1213,Sunderland,Franklin County,MA,Sunderland,2005-2009,3644,781,21.4,7.7
1214,Sunderland,Franklin County,MA,Sunderland,2006-2010,3612,581,16.1,5.1
1215,Sunderland,Franklin County,MA,Sunderland,2007-2011,3634,587,16.2,5.3
1216,Sunderland,Franklin County,MA,Sunderland,2008-2012,3632,656,18.1,5.5
1217,Sutton,Worcester County,MA,Sutton,2005-2009,9094,119,1.3,1
1218,Sutton,Worcester County,MA,Sutton,2006-2010,8869,132,1.5,1
1219,Sutton,Worcester County,MA,Sutton,2007-2011,8907,285,3.2,3.3
1220,Sutton,Worcester County,MA,Sutton,2008-2012,8963,229,2.6,3.7
1221,Swampscott,Essex County,MA,Swampscott,2005-2009,13673,690,5,2.6
1222,Swampscott,Essex County,MA,Swampscott,2006-2010,13529,686,5.1,2.7
1223,Swampscott,Essex County,MA,Swampscott,2007-2011,13641,713,5.2,2.9
1224,Swampscott,Essex County,MA,Swampscott,2008-2012,13650,666,4.9,2.5
1225,Swansea,Bristol County,MA,Swansea,2005-2009,16084,740,4.6,1.9
1226,Swansea,Bristol County,MA,Swansea,2006-2010,15743,707,4.5,2.4
1227,Swansea,Bristol County,MA,Swansea,2007-2011,15724,702,4.5,1.8
1228,Swansea,Bristol County,MA,Swansea,2008-2012,15677,914,5.8,2.4
1229,Taunton,Bristol County,MA,Taunton,2005-2009,55026,5634,10.2,1.6
1230,Taunton,Bristol County,MA,Taunton,2006-2010,55396,6697,12.1,1.8
1231,Taunton,Bristol County,MA,Taunton,2007-2011,55234,6880,12.5,1.5
1232,Taunton,Bristol County,MA,Taunton,2008-2012,55286,7257,13.1,1.5
1233,Templeton,Worcester County,MA,Templeton,2005-2009,7595,535,7,3
1234,Templeton,Worcester County,MA,Templeton,2006-2010,7591,617,8.1,3.1
1235,Templeton,Worcester County,MA,Templeton,2007-2011,7655,700,9.1,4.1
1236,Templeton,Worcester County,MA,Templeton,2008-2012,7722,999,12.9,5.3
1237,Tewksbury,Middlesex County,MA,Tewksbury,2005-2009,28275,1072,3.8,1.6
1238,Tewksbury,Middlesex County,MA,Tewksbury,2006-2010,28019,801,2.9,1.1
1239,Tewksbury,Middlesex County,MA,Tewksbury,2007-2011,28395,833,2.9,1.2
1240,Tewksbury,Middlesex County,MA,Tewksbury,2008-2012,28821,734,2.5,1.1
1241,Tisbury,Dukes County,MA,Tisbury,2005-2009,3874,165,4.3,2.6
1242,Tisbury,Dukes County,MA,Tisbury,2006-2010,3886,169,4.3,2.7
1243,Tisbury,Dukes County,MA,Tisbury,2007-2011,3899,490,12.6,5.9
1244,Tisbury,Dukes County,MA,Tisbury,2008-2012,3951,544,13.8,7.6
1245,Tolland,Hampden County,MA,Tolland,2005-2009,443,21,4.7,4.8
1246,Tolland,Hampden County,MA,Tolland,2006-2010,494,17,3.4,3.7
1247,Tolland,Hampden County,MA,Tolland,2007-2011,434,20,4.6,3
1248,Tolland,Hampden County,MA,Tolland,2008-2012,502,16,3.2,2.8
1249,Topsfield,Essex County,MA,Topsfield,2005-2009,5932,158,2.7,1.7
1250,Topsfield,Essex County,MA,Topsfield,2006-2010,5946,141,2.4,1.8
1251,Topsfield,Essex County,MA,Topsfield,2007-2011,5965,409,6.9,4.9
