,Municipal,County,State,Region,Five_Year_Range,Civilian_Pop,Vet_Pop,Percent_Vet,Margin_Error_Percent
266,Duxbury,Plymouth County,MA,Duxbury,2007-2011,10393,1034,9.9,1.5
267,Duxbury,Plymouth County,MA,Duxbury,2008-2012,10679,1137,10.6,1.5
1382,Duxbury,Plymouth County,MA,Duxbury,2009-2013,10944,975,8.9,1.4
1749,Duxbury,Plymouth County,MA,Duxbury,2010-2014,10934,879,8,1.3
2116,Duxbury,Plymouth County,MA,Duxbury,2011-2015,11334,792,7,1.2
2483,Duxbury,Plymouth County,MA,Duxbury,2012-2016,11350,734,6.5,1.1
2850,Duxbury,Plymouth County,MA,Duxbury,2013-2017,11423,842,7.4,1.3
268,East Bridgewater,Plymouth County,MA,East Bridgewater,2006-2010,10353,1173,11.3,1.9
269,East Bridgewater,Plymouth County,MA,East Bridgewater,2007-2011,10642,1048,9.8,1.3
270,East Bridgewater,Plymouth County,MA,East Bridgewater,2008-2012,10606,1107,10.4,1.6
1383,East Bridgewater,Plymouth County,MA,East Bridgewater,2009-2013,10784,987,9.2,1.7
1750,East Bridgewater,Plymouth County,MA,East Bridgewater,2010-2014,10897,965,8.9,1.5
2117,East Bridgewater,Plymouth County,MA,East Bridgewater,2011-2015,11125,801,7.2,1.5
2484,East Bridgewater,Plymouth County,MA,East Bridgewater,2012-2016,11105,766,6.9,1.6
2851,East Bridgewater,Plymouth County,MA,East Bridgewater,2013-2017,10725,619,5.8,1.2
271,East Brookfield,Worcester County,MA,East Brookfield,2006-2010,1564,152,9.7,3.1
272,East Brookfield,Worcester County,MA,East Brookfield,2007-2011,1586,112,7.1,2.9
273,East Brookfield,Worcester County,MA,East Brookfield,2008-2012,1710,152,8.9,2.8
1422,East Brookfield,Worcester County,MA,East Brookfield,2009-2013,1805,178,9.9,2.9
1789,East Brookfield,Worcester County,MA,East Brookfield,2010-2014,1837,157,8.5,2.5
2156,East Brookfield,Worcester County,MA,East Brookfield,2011-2015,1799,187,10.4,2.9
2523,East Brookfield,Worcester County,MA,East Brookfield,2012-2016,1788,197,11,2.9
2890,East Brookfield,Worcester County,MA,East Brookfield,2013-2017,1696,163,9.6,2.9
274,East Longmeadow,Hampden County,MA,East Longmeadow,2006-2010,11790,1367,11.6,1.6
275,East Longmeadow,Hampden County,MA,East Longmeadow,2007-2011,11749,1334,11.4,1.5
276,East Longmeadow,Hampden County,MA,East Longmeadow,2008-2012,11942,1417,11.9,1.4
1257,East Longmeadow,Hampden County,MA,East Longmeadow,2009-2013,12217,1253,10.3,1.3
1624,East Longmeadow,Hampden County,MA,East Longmeadow,2010-2014,12424,1257,10.1,1.4
1991,East Longmeadow,Hampden County,MA,East Longmeadow,2011-2015,12583,1385,11,1.5
2358,East Longmeadow,Hampden County,MA,East Longmeadow,2012-2016,12677,1224,9.7,1.4
2725,East Longmeadow,Hampden County,MA,East Longmeadow,2013-2017,12795,1168,9.1,1.7
277,Eastham,Barnstable County,MA,Eastham,2006-2010,4530,758,16.7,3.6
278,Eastham,Barnstable County,MA,Eastham,2007-2011,4523,626,13.8,2.6
279,Eastham,Barnstable County,MA,Eastham,2008-2012,4412,576,13.1,3.3
1123,Eastham,Barnstable County,MA,Eastham,2009-2013,4415,575,13,3.1
1490,Eastham,Barnstable County,MA,Eastham,2010-2014,4439,567,12.8,2.7
1857,Eastham,Barnstable County,MA,Eastham,2011-2015,4414,522,11.8,2.7
2224,Eastham,Barnstable County,MA,Eastham,2012-2016,4404,575,13.1,3
2591,Eastham,Barnstable County,MA,Eastham,2013-2017,4427,582,13.1,2.5
280,Easthampton,Hampshire County,MA,Easthampton,2006-2010,13001,1377,10.6,1.8
281,Easthampton,Hampshire County,MA,Easthampton,2007-2011,13271,1359,10.2,1.7
282,Easthampton,Hampshire County,MA,Easthampton,2008-2012,13434,1295,9.6,1.8
1279,Easthampton,Hampshire County,MA,Easthampton,2009-2013,13516,1467,10.9,1.6
1646,Easthampton,Hampshire County,MA,Easthampton,2010-2014,13551,1167,8.6,1.6
2013,Easthampton,Hampshire County,MA,Easthampton,2011-2015,13538,1339,9.9,1.8
2380,Easthampton,Hampshire County,MA,Easthampton,2012-2016,13530,1387,10.3,2
2747,Easthampton,Hampshire County,MA,Easthampton,2013-2017,13651,1366,10,1.8
283,Easton,Bristol County,MA,Easton,2006-2010,18235,1290,7.1,1.2
284,Easton,Bristol County,MA,Easton,2007-2011,18106,1283,7.1,1.1
285,Easton,Bristol County,MA,Easton,2008-2012,18086,1293,7.1,1.2
1170,Easton,Bristol County,MA,Easton,2009-2013,18158,1270,7,1
1537,Easton,Bristol County,MA,Easton,2010-2014,18165,1193,6.6,0.9
1904,Easton,Bristol County,MA,Easton,2011-2015,18271,1260,6.9,1
2271,Easton,Bristol County,MA,Easton,2012-2016,18483,1269,6.9,0.9
2638,Easton,Bristol County,MA,Easton,2013-2017,18756,1139,6.1,0.8
286,Edgartown,Dukes County,MA,Edgartown,2006-2010,3387,358,10.6,3.8
287,Edgartown,Dukes County,MA,Edgartown,2007-2011,3499,296,8.5,3.2
288,Edgartown,Dukes County,MA,Edgartown,2008-2012,3608,231,6.4,3
1187,Edgartown,Dukes County,MA,Edgartown,2009-2013,3623,157,4.3,2.1
1554,Edgartown,Dukes County,MA,Edgartown,2010-2014,3658,157,4.3,2.1
1921,Edgartown,Dukes County,MA,Edgartown,2011-2015,3608,142,3.9,1.5
2288,Edgartown,Dukes County,MA,Edgartown,2012-2016,3662,142,3.9,2.3
2655,Edgartown,Dukes County,MA,Edgartown,2013-2017,3676,104,2.8,2
289,Egremont,Berkshire County,MA,Egremont,2006-2010,1070,139,13,3.1
290,Egremont,Berkshire County,MA,Egremont,2007-2011,920,92,10,3.6
291,Egremont,Berkshire County,MA,Egremont,2008-2012,908,100,11,3
1139,Egremont,Berkshire County,MA,Egremont,2009-2013,986,88,8.9,3.2
1506,Egremont,Berkshire County,MA,Egremont,2010-2014,947,104,11,4.2
1873,Egremont,Berkshire County,MA,Egremont,2011-2015,985,133,13.5,5.4
2240,Egremont,Berkshire County,MA,Egremont,2012-2016,1042,151,14.5,5.3
2607,Egremont,Berkshire County,MA,Egremont,2013-2017,1089,142,13,4.5
292,Erving,Franklin County,MA,Erving,2006-2010,1372,188,13.7,2.7
293,Erving,Franklin County,MA,Erving,2007-2011,1298,152,11.7,2.6
294,Erving,Franklin County,MA,Erving,2008-2012,1298,156,12,2.4
1233,Erving,Franklin County,MA,Erving,2009-2013,1336,144,10.8,2.9
1600,Erving,Franklin County,MA,Erving,2010-2014,1401,152,10.8,2.5
1967,Erving,Franklin County,MA,Erving,2011-2015,1454,153,10.5,2.6
2334,Erving,Franklin County,MA,Erving,2012-2016,1483,167,11.3,2.9
2701,Erving,Franklin County,MA,Erving,2013-2017,1436,152,10.6,2.4
295,Essex,Essex County,MA,Essex,2006-2010,2669,300,11.2,4.2
296,Essex,Essex County,MA,Essex,2007-2011,2759,303,11,3.5
297,Essex,Essex County,MA,Essex,2008-2012,2762,230,8.3,2.8
1197,Essex,Essex County,MA,Essex,2009-2013,2815,198,7,2.6
1564,Essex,Essex County,MA,Essex,2010-2014,2876,189,6.6,2.6
1931,Essex,Essex County,MA,Essex,2011-2015,2789,232,8.3,2.5
2298,Essex,Essex County,MA,Essex,2012-2016,2854,180,6.3,2
2665,Essex,Essex County,MA,Essex,2013-2017,2811,216,7.7,2.4
301,Everett,Middlesex County,MA,Everett,2006-2010,31928,2083,6.5,1.1
302,Everett,Middlesex County,MA,Everett,2007-2011,32064,2198,6.9,1.1
303,Everett,Middlesex County,MA,Everett,2008-2012,32695,2005,6.1,1
1311,Everett,Middlesex County,MA,Everett,2009-2013,32965,1871,5.7,0.8
1678,Everett,Middlesex County,MA,Everett,2010-2014,33128,1616,4.9,0.8
2045,Everett,Middlesex County,MA,Everett,2011-2015,33829,1347,4,0.7
2412,Everett,Middlesex County,MA,Everett,2012-2016,34104,1167,3.4,0.6
2779,Everett,Middlesex County,MA,Everett,2013-2017,34466,1134,3.3,0.7
304,Fairhaven,Bristol County,MA,Fairhaven,2006-2010,12989,1569,12.1,1.7
305,Fairhaven,Bristol County,MA,Fairhaven,2007-2011,12904,1410,10.9,1.3
306,Fairhaven,Bristol County,MA,Fairhaven,2008-2012,13151,1375,10.5,1.4
1171,Fairhaven,Bristol County,MA,Fairhaven,2009-2013,13267,1276,9.6,1.5
1538,Fairhaven,Bristol County,MA,Fairhaven,2010-2014,13144,1275,9.7,1.5
1905,Fairhaven,Bristol County,MA,Fairhaven,2011-2015,13237,1275,9.6,1.3
2272,Fairhaven,Bristol County,MA,Fairhaven,2012-2016,13074,1264,9.7,1.6
2639,Fairhaven,Bristol County,MA,Fairhaven,2013-2017,12987,1231,9.5,1.6
307,Fall River,Bristol County,MA,Fall River,2006-2010,69979,5376,7.7,0.6
308,Fall River,Bristol County,MA,Fall River,2007-2011,70233,5391,7.7,0.6
309,Fall River,Bristol County,MA,Fall River,2008-2012,69687,5219,7.5,0.6
1172,Fall River,Bristol County,MA,Fall River,2009-2013,69948,4770,6.8,0.6
1539,Fall River,Bristol County,MA,Fall River,2010-2014,70220,4659,6.6,0.5
1906,Fall River,Bristol County,MA,Fall River,2011-2015,70728,4623,6.5,0.5
2273,Fall River,Bristol County,MA,Fall River,2012-2016,70898,4567,6.4,0.6
2640,Fall River,Bristol County,MA,Fall River,2013-2017,70979,4570,6.4,0.7
310,Falmouth,Barnstable County,MA,Falmouth,2006-2010,26452,4139,15.6,1.4
311,Falmouth,Barnstable County,MA,Falmouth,2007-2011,26133,3907,15,1.4
312,Falmouth,Barnstable County,MA,Falmouth,2008-2012,26163,3655,14,1.3
1124,Falmouth,Barnstable County,MA,Falmouth,2009-2013,26085,3342,12.8,1.4
1491,Falmouth,Barnstable County,MA,Falmouth,2010-2014,25838,3186,12.3,1.3
1858,Falmouth,Barnstable County,MA,Falmouth,2011-2015,26027,2904,11.2,1.1
2225,Falmouth,Barnstable County,MA,Falmouth,2012-2016,26246,2787,10.6,1.2
2592,Falmouth,Barnstable County,MA,Falmouth,2013-2017,26492,2760,10.4,1.2
313,Fitchburg,Worcester County,MA,Fitchburg,2006-2010,31196,2655,8.5,0.9
314,Fitchburg,Worcester County,MA,Fitchburg,2007-2011,31203,2607,8.4,1
315,Fitchburg,Worcester County,MA,Fitchburg,2008-2012,31556,2751,8.7,1
1423,Fitchburg,Worcester County,MA,Fitchburg,2009-2013,31507,2660,8.4,1.1
1790,Fitchburg,Worcester County,MA,Fitchburg,2010-2014,31396,2320,7.4,1
2157,Fitchburg,Worcester County,MA,Fitchburg,2011-2015,31217,2361,7.6,0.8
2524,Fitchburg,Worcester County,MA,Fitchburg,2012-2016,31196,2195,7,0.9
2891,Fitchburg,Worcester County,MA,Fitchburg,2013-2017,31402,2488,7.9,0.9
316,Florida,Berkshire County,MA,Florida,2006-2010,605,110,18.2,5.8
317,Florida,Berkshire County,MA,Florida,2007-2011,575,81,14.1,5.9
318,Florida,Berkshire County,MA,Florida,2008-2012,563,68,12.1,4.8
1140,Florida,Berkshire County,MA,Florida,2009-2013,594,53,8.9,3.3
1507,Florida,Berkshire County,MA,Florida,2010-2014,626,53,8.5,3.1
1874,Florida,Berkshire County,MA,Florida,2011-2015,582,36,6.2,2.5
2241,Florida,Berkshire County,MA,Florida,2012-2016,623,50,8,2.7
2608,Florida,Berkshire County,MA,Florida,2013-2017,655,60,9.2,3.1
319,Foxborough,Norfolk County,MA,Foxborough,2006-2010,12382,1176,9.5,1.3
320,Foxborough,Norfolk County,MA,Foxborough,2007-2011,12637,1100,8.7,1.4
321,Foxborough,Norfolk County,MA,Foxborough,2008-2012,12783,1046,8.2,1.4
1358,Foxborough,Norfolk County,MA,Foxborough,2009-2013,13029,896,6.9,1.1
1725,Foxborough,Norfolk County,MA,Foxborough,2010-2014,13126,879,6.7,1.2
2092,Foxborough,Norfolk County,MA,Foxborough,2011-2015,13474,1113,8.3,1.5
2459,Foxborough,Norfolk County,MA,Foxborough,2012-2016,13445,1164,8.7,1.3
2826,Foxborough,Norfolk County,MA,Foxborough,2013-2017,13704,1089,7.9,1.7
322,Framingham,Middlesex County,MA,Framingham,2006-2010,53285,3218,6,0.7
323,Framingham,Middlesex County,MA,Framingham,2007-2011,53462,3059,5.7,0.6
324,Framingham,Middlesex County,MA,Framingham,2008-2012,54383,3008,5.5,0.6
1312,Framingham,Middlesex County,MA,Framingham,2009-2013,54600,2809,5.1,0.5
1679,Framingham,Middlesex County,MA,Framingham,2010-2014,54945,2947,5.4,0.5
2046,Framingham,Middlesex County,MA,Framingham,2011-2015,55610,2773,5,0.6
2413,Framingham,Middlesex County,MA,Framingham,2012-2016,56391,2762,4.9,0.5
2780,Framingham,Middlesex County,MA,Framingham,2013-2017,56656,2739,4.8,0.5
325,Franklin,Norfolk County,MA,Franklin,2006-2010,21991,1683,7.7,1.1
326,Franklin,Norfolk County,MA,Franklin,2007-2011,22311,1504,6.7,0.9
327,Franklin,Norfolk County,MA,Franklin,2008-2012,22633,1411,6.2,0.9
1359,Franklin,Norfolk County,MA,Franklin,2009-2013,23253,1390,6,0.9
1726,Franklin,Norfolk County,MA,Franklin,2010-2014,23637,1442,6.1,1
2093,Franklin,Norfolk County,MA,Franklin,2011-2015,24020,1623,6.8,1.1
2460,Franklin,Norfolk County,MA,Franklin,2012-2016,24349,1616,6.6,0.9
2827,Franklin,Norfolk County,MA,Franklin,2013-2017,24357,1532,6.3,1
331,Freetown,Bristol County,MA,Freetown,2006-2010,6865,715,10.4,2.1
332,Freetown,Bristol County,MA,Freetown,2007-2011,6879,741,10.8,2
333,Freetown,Bristol County,MA,Freetown,2008-2012,6812,734,10.8,1.8
1173,Freetown,Bristol County,MA,Freetown,2009-2013,6834,693,10.1,1.5
1540,Freetown,Bristol County,MA,Freetown,2010-2014,6949,694,10,1.6
1907,Freetown,Bristol County,MA,Freetown,2011-2015,6977,650,9.3,1.7
2274,Freetown,Bristol County,MA,Freetown,2012-2016,7078,554,7.8,1.2
2641,Freetown,Bristol County,MA,Freetown,2013-2017,7265,550,7.6,1.6
334,Gardner,Worcester County,MA,Gardner,2006-2010,16111,1982,12.3,1.8
335,Gardner,Worcester County,MA,Gardner,2007-2011,16048,2068,12.9,1.8
336,Gardner,Worcester County,MA,Gardner,2008-2012,16070,1923,12,1.4
1424,Gardner,Worcester County,MA,Gardner,2009-2013,16029,1935,12.1,1.6
1791,Gardner,Worcester County,MA,Gardner,2010-2014,16005,1904,11.9,1.6
2158,Gardner,Worcester County,MA,Gardner,2011-2015,16030,1843,11.5,1.2
2525,Gardner,Worcester County,MA,Gardner,2012-2016,16097,1650,10.3,1.3
2892,Gardner,Worcester County,MA,Gardner,2013-2017,16318,1685,10.3,1.4
337,Georgetown,Essex County,MA,Georgetown,2006-2010,5682,545,9.6,1.9
338,Georgetown,Essex County,MA,Georgetown,2007-2011,5825,508,8.7,1.5
339,Georgetown,Essex County,MA,Georgetown,2008-2012,5921,487,8.2,1.6
1198,Georgetown,Essex County,MA,Georgetown,2009-2013,6097,540,8.9,1.5
1565,Georgetown,Essex County,MA,Georgetown,2010-2014,6122,475,7.8,1.6
1932,Georgetown,Essex County,MA,Georgetown,2011-2015,6285,467,7.4,1.6
2299,Georgetown,Essex County,MA,Georgetown,2012-2016,6403,461,7.2,1.5
2666,Georgetown,Essex County,MA,Georgetown,2013-2017,6541,447,6.8,1.7
340,Gill,Franklin County,MA,Gill,2006-2010,1154,157,13.6,3.5
341,Gill,Franklin County,MA,Gill,2007-2011,1181,142,12,3.3
342,Gill,Franklin County,MA,Gill,2008-2012,1316,132,10,3.1
1234,Gill,Franklin County,MA,Gill,2009-2013,1312,108,8.2,2.2
1601,Gill,Franklin County,MA,Gill,2010-2014,1368,101,7.4,2.4
1968,Gill,Franklin County,MA,Gill,2011-2015,1426,99,6.9,2
2335,Gill,Franklin County,MA,Gill,2012-2016,1453,120,8.3,2.4
2702,Gill,Franklin County,MA,Gill,2013-2017,1419,105,7.4,2.3
343,Gloucester,Essex County,MA,Gloucester,2006-2010,23520,2340,9.9,1.1
344,Gloucester,Essex County,MA,Gloucester,2007-2011,23527,2230,9.5,1.1
345,Gloucester,Essex County,MA,Gloucester,2008-2012,23567,2156,9.1,1
1199,Gloucester,Essex County,MA,Gloucester,2009-2013,23594,2204,9.3,1
1566,Gloucester,Essex County,MA,Gloucester,2010-2014,24012,2215,9.2,1
1933,Gloucester,Essex County,MA,Gloucester,2011-2015,24237,2159,8.9,1
2300,Gloucester,Essex County,MA,Gloucester,2012-2016,24504,2120,8.7,0.9
2667,Gloucester,Essex County,MA,Gloucester,2013-2017,24880,1796,7.2,0.8
346,Goshen,Hampshire County,MA,Goshen,2006-2010,832,67,8.1,3.7
347,Goshen,Hampshire County,MA,Goshen,2007-2011,880,64,7.3,2.9
348,Goshen,Hampshire County,MA,Goshen,2008-2012,868,66,7.6,3
1280,Goshen,Hampshire County,MA,Goshen,2009-2013,864,67,7.8,3.3
1647,Goshen,Hampshire County,MA,Goshen,2010-2014,892,69,7.7,3.4
2014,Goshen,Hampshire County,MA,Goshen,2011-2015,899,71,7.9,3.2
2381,Goshen,Hampshire County,MA,Goshen,2012-2016,929,66,7.1,3.4
2748,Goshen,Hampshire County,MA,Goshen,2013-2017,881,74,8.4,3.9
349,Gosnold,Dukes County,MA,Gosnold,2006-2010,191,37,19.4,8.5
350,Gosnold,Dukes County,MA,Gosnold,2007-2011,178,22,12.4,8.5
351,Gosnold,Dukes County,MA,Gosnold,2008-2012,165,13,7.9,8.5
1188,Gosnold,Dukes County,MA,Gosnold,2009-2013,135,7,5.2,4
1555,Gosnold,Dukes County,MA,Gosnold,2010-2014,99,7,7.1,6.3
1922,Gosnold,Dukes County,MA,Gosnold,2011-2015,75,6,8,5.9
2289,Gosnold,Dukes County,MA,Gosnold,2012-2016,53,4,7.5,7.8
2656,Gosnold,Dukes County,MA,Gosnold,2013-2017,34,4,11.8,12.3
352,Grafton,Worcester County,MA,Grafton,2006-2010,12390,812,6.6,1.4
353,Grafton,Worcester County,MA,Grafton,2007-2011,12710,855,6.7,1.5
354,Grafton,Worcester County,MA,Grafton,2008-2012,12896,908,7,1.2
1425,Grafton,Worcester County,MA,Grafton,2009-2013,13336,901,6.8,1.5
1792,Grafton,Worcester County,MA,Grafton,2010-2014,13481,888,6.6,1.2
2159,Grafton,Worcester County,MA,Grafton,2011-2015,13850,851,6.1,1.1
2526,Grafton,Worcester County,MA,Grafton,2012-2016,13929,809,5.8,1.1
2893,Grafton,Worcester County,MA,Grafton,2013-2017,14092,814,5.8,1.2
355,Granby,Hampshire County,MA,Granby,2006-2010,4859,574,11.8,2.7
356,Granby,Hampshire County,MA,Granby,2007-2011,4807,501,10.4,2.8
357,Granby,Hampshire County,MA,Granby,2008-2012,4895,489,10,2.4
1281,Granby,Hampshire County,MA,Granby,2009-2013,4919,479,9.7,2.6
1648,Granby,Hampshire County,MA,Granby,2010-2014,4937,402,8.1,2.4
2015,Granby,Hampshire County,MA,Granby,2011-2015,4978,365,7.3,2.4
2382,Granby,Hampshire County,MA,Granby,2012-2016,5127,406,7.9,2.6
2749,Granby,Hampshire County,MA,Granby,2013-2017,5147,364,7.1,2.4
358,Granville,Hampden County,MA,Granville,2006-2010,1184,145,12.2,2.6
359,Granville,Hampden County,MA,Granville,2007-2011,1141,154,13.5,3.1
360,Granville,Hampden County,MA,Granville,2008-2012,1149,146,12.7,3.2
1258,Granville,Hampden County,MA,Granville,2009-2013,1292,157,12.2,3.1
1625,Granville,Hampden County,MA,Granville,2010-2014,1236,152,12.3,3.1
1992,Granville,Hampden County,MA,Granville,2011-2015,1312,129,9.8,2.6
2359,Granville,Hampden County,MA,Granville,2012-2016,1369,123,9,2.1
2726,Granville,Hampden County,MA,Granville,2013-2017,1350,137,10.1,2.3
361,Great Barrington,Berkshire County,MA,Great Barrington,2006-2010,5820,621,10.7,2.6
362,Great Barrington,Berkshire County,MA,Great Barrington,2007-2011,5975,503,8.4,2
363,Great Barrington,Berkshire County,MA,Great Barrington,2008-2012,6011,389,6.5,2.2
1141,Great Barrington,Berkshire County,MA,Great Barrington,2009-2013,5850,375,6.4,2.2
1508,Great Barrington,Berkshire County,MA,Great Barrington,2010-2014,5809,344,5.9,2
1875,Great Barrington,Berkshire County,MA,Great Barrington,2011-2015,5705,305,5.3,1.9
2242,Great Barrington,Berkshire County,MA,Great Barrington,2012-2016,5542,327,5.9,2
2609,Great Barrington,Berkshire County,MA,Great Barrington,2013-2017,5413,318,5.9,2.4
364,Greenfield,Franklin County,MA,Greenfield,2006-2010,13925,1519,10.9,1.4
365,Greenfield,Franklin County,MA,Greenfield,2007-2011,14022,1445,10.3,1.5
366,Greenfield,Franklin County,MA,Greenfield,2008-2012,14081,1373,9.8,1.4
1235,Greenfield,Franklin County,MA,Greenfield,2009-2013,14176,1186,8.4,1.2
1602,Greenfield,Franklin County,MA,Greenfield,2010-2014,14222,1268,8.9,1.2
1969,Greenfield,Franklin County,MA,Greenfield,2011-2015,14248,1323,9.3,1.1
2336,Greenfield,Franklin County,MA,Greenfield,2012-2016,14179,1215,8.6,1.3
2703,Greenfield,Franklin County,MA,Greenfield,2013-2017,14314,1297,9.1,1.3
367,Groton,Middlesex County,MA,Groton,2006-2010,7153,544,7.6,2.1
368,Groton,Middlesex County,MA,Groton,2007-2011,7383,612,8.3,2.3
369,Groton,Middlesex County,MA,Groton,2008-2012,7724,560,7.3,2.2
1313,Groton,Middlesex County,MA,Groton,2009-2013,7909,556,7,1.9
1680,Groton,Middlesex County,MA,Groton,2010-2014,8189,564,6.9,1.8
2047,Groton,Middlesex County,MA,Groton,2011-2015,8283,481,5.8,1.6
2414,Groton,Middlesex County,MA,Groton,2012-2016,8467,569,6.7,1.9
2781,Groton,Middlesex County,MA,Groton,2013-2017,8550,585,6.8,1.8
370,Groveland,Essex County,MA,Groveland,2006-2010,4526,428,9.5,3
371,Groveland,Essex County,MA,Groveland,2007-2011,4736,409,8.6,2.3
372,Groveland,Essex County,MA,Groveland,2008-2012,4951,452,9.1,2.4
1200,Groveland,Essex County,MA,Groveland,2009-2013,5139,543,10.6,2.5
1567,Groveland,Essex County,MA,Groveland,2010-2014,5237,519,9.9,2.3
1934,Groveland,Essex County,MA,Groveland,2011-2015,5278,447,8.5,2.6
2301,Groveland,Essex County,MA,Groveland,2012-2016,5276,346,6.6,2.1
2668,Groveland,Essex County,MA,Groveland,2013-2017,5260,332,6.3,2.1
373,Hadley,Hampshire County,MA,Hadley,2006-2010,4230,482,11.4,2.6
374,Hadley,Hampshire County,MA,Hadley,2007-2011,4269,490,11.5,3
375,Hadley,Hampshire County,MA,Hadley,2008-2012,4347,508,11.7,2.9
1282,Hadley,Hampshire County,MA,Hadley,2009-2013,4397,301,6.8,2.4
1649,Hadley,Hampshire County,MA,Hadley,2010-2014,4445,331,7.4,2.7
2016,Hadley,Hampshire County,MA,Hadley,2011-2015,4510,344,7.6,2.2
2383,Hadley,Hampshire County,MA,Hadley,2012-2016,4454,345,7.7,2.3
2750,Hadley,Hampshire County,MA,Hadley,2013-2017,4452,310,7,2.3
376,Halifax,Plymouth County,MA,Halifax,2006-2010,5875,470,8,2.2
377,Halifax,Plymouth County,MA,Halifax,2007-2011,5840,375,6.4,1.9
378,Halifax,Plymouth County,MA,Halifax,2008-2012,5804,458,7.9,2.3
1384,Halifax,Plymouth County,MA,Halifax,2009-2013,5883,513,8.7,2.3
1751,Halifax,Plymouth County,MA,Halifax,2010-2014,5925,485,8.2,2.2
2118,Halifax,Plymouth County,MA,Halifax,2011-2015,5948,471,7.9,2.1
2485,Halifax,Plymouth County,MA,Halifax,2012-2016,6043,562,9.3,2.6
2852,Halifax,Plymouth County,MA,Halifax,2013-2017,6114,428,7,2
379,Hamilton,Essex County,MA,Hamilton,2006-2010,5766,614,10.6,2.4
380,Hamilton,Essex County,MA,Hamilton,2007-2011,5677,539,9.5,2.4
381,Hamilton,Essex County,MA,Hamilton,2008-2012,5614,481,8.6,2.1
1201,Hamilton,Essex County,MA,Hamilton,2009-2013,5852,454,7.8,1.7
1568,Hamilton,Essex County,MA,Hamilton,2010-2014,5946,450,7.6,1.7
1935,Hamilton,Essex County,MA,Hamilton,2011-2015,5869,413,7,1.7
2302,Hamilton,Essex County,MA,Hamilton,2012-2016,5903,426,7.2,1.8
2669,Hamilton,Essex County,MA,Hamilton,2013-2017,5801,345,5.9,1.6
382,Hampden,Hampden County,MA,Hampden,2006-2010,4129,458,11.1,2.7
383,Hampden,Hampden County,MA,Hampden,2007-2011,4143,491,11.9,2.3
384,Hampden,Hampden County,MA,Hampden,2008-2012,4146,509,12.3,2.4
1259,Hampden,Hampden County,MA,Hampden,2009-2013,4189,535,12.8,2.7
1626,Hampden,Hampden County,MA,Hampden,2010-2014,4178,573,13.7,3.2
1993,Hampden,Hampden County,MA,Hampden,2011-2015,4209,536,12.7,3.3
2360,Hampden,Hampden County,MA,Hampden,2012-2016,4240,460,10.8,2.5
2727,Hampden,Hampden County,MA,Hampden,2013-2017,4235,459,10.8,2.5
391,Hancock,Berkshire County,MA,Hancock,2006-2010,503,76,15.1,5.2
392,Hancock,Berkshire County,MA,Hancock,2007-2011,510,83,16.3,5.1
393,Hancock,Berkshire County,MA,Hancock,2008-2012,509,65,12.8,4.5
1142,Hancock,Berkshire County,MA,Hancock,2009-2013,528,57,10.8,3.4
1509,Hancock,Berkshire County,MA,Hancock,2010-2014,543,62,11.4,4.1
1876,Hancock,Berkshire County,MA,Hancock,2011-2015,568,56,9.9,3.9
2243,Hancock,Berkshire County,MA,Hancock,2012-2016,541,46,8.5,3.8
2610,Hancock,Berkshire County,MA,Hancock,2013-2017,539,53,9.8,3.6
394,Hanover,Plymouth County,MA,Hanover,2006-2010,9912,1147,11.6,1.7
395,Hanover,Plymouth County,MA,Hanover,2007-2011,10073,1134,11.3,1.8
396,Hanover,Plymouth County,MA,Hanover,2008-2012,10168,966,9.5,1.9
1385,Hanover,Plymouth County,MA,Hanover,2009-2013,10305,744,7.2,1.7
1752,Hanover,Plymouth County,MA,Hanover,2010-2014,10346,637,6.2,1.7
2119,Hanover,Plymouth County,MA,Hanover,2011-2015,10405,594,5.7,1.5
2486,Hanover,Plymouth County,MA,Hanover,2012-2016,10422,568,5.5,1.7
2853,Hanover,Plymouth County,MA,Hanover,2013-2017,10573,611,5.8,1.8
397,Hanson,Plymouth County,MA,Hanson,2006-2010,7319,921,12.6,2
398,Hanson,Plymouth County,MA,Hanson,2007-2011,7478,803,10.7,2.1
399,Hanson,Plymouth County,MA,Hanson,2008-2012,7515,708,9.4,1.6
1386,Hanson,Plymouth County,MA,Hanson,2009-2013,7652,652,8.5,1.4
1753,Hanson,Plymouth County,MA,Hanson,2010-2014,7821,607,7.8,1.3
2120,Hanson,Plymouth County,MA,Hanson,2011-2015,8000,611,7.6,1.4
2487,Hanson,Plymouth County,MA,Hanson,2012-2016,8242,608,7.4,1.4
2854,Hanson,Plymouth County,MA,Hanson,2013-2017,8494,678,8,1.6
400,Hardwick,Worcester County,MA,Hardwick,2006-2010,2272,302,13.3,3.6
401,Hardwick,Worcester County,MA,Hardwick,2007-2011,2270,343,15.1,4.2
402,Hardwick,Worcester County,MA,Hardwick,2008-2012,2330,343,14.7,3.6
1426,Hardwick,Worcester County,MA,Hardwick,2009-2013,2445,379,15.5,4.5
1793,Hardwick,Worcester County,MA,Hardwick,2010-2014,2453,355,14.5,3.7
2160,Hardwick,Worcester County,MA,Hardwick,2011-2015,2421,278,11.5,2.9
2527,Hardwick,Worcester County,MA,Hardwick,2012-2016,2409,228,9.5,2.6
2894,Hardwick,Worcester County,MA,Hardwick,2013-2017,2378,245,10.3,2.9
