"","Municipal","County","State","Region","Five Year Average","Five_Year_Average","Estimate; Median household income in the past 12 months (inflation-adjusted dollars)","Margin of Error; Median household income in the past 12 months (inflation-adjusted dollars)"
"793","Milton","Norfolk County","MA","Milton","2005-2009",2009,96352,5274
"794","Milton","Norfolk County","MA","Milton","2006-2010",2010,97421,4369
"795","Milton","Norfolk County","MA","Milton","2007-2011",2011,104713,6205
"796","Milton","Norfolk County","MA","Milton","2008-2012",2012,107577,7444
"797","Monroe","Franklin County","MA","Monroe","2005-2009",2009,31071,33085
"798","Monroe","Franklin County","MA","Monroe","2006-2010",2010,30833,14232
"799","Monroe","Franklin County","MA","Monroe","2007-2011",2011,30714,16707
"800","Monroe","Franklin County","MA","Monroe","2008-2012",2012,37083,37031
"801","Monson","Hampden County","MA","Monson","2005-2009",2009,68661,10334
"802","Monson","Hampden County","MA","Monson","2006-2010",2010,73004,9791
"803","Monson","Hampden County","MA","Monson","2007-2011",2011,70485,7799
"804","Monson","Hampden County","MA","Monson","2008-2012",2012,65494,5487
"805","Montague","Franklin County","MA","Montague","2005-2009",2009,41865,2682
"806","Montague","Franklin County","MA","Montague","2006-2010",2010,42140,2363
"807","Montague","Franklin County","MA","Montague","2007-2011",2011,41980,1834
"808","Montague","Franklin County","MA","Montague","2008-2012",2012,45019,2451
"809","Monterey","Berkshire County","MA","Monterey","2005-2009",2009,39643,10073
"810","Monterey","Berkshire County","MA","Monterey","2006-2010",2010,41625,20471
"811","Monterey","Berkshire County","MA","Monterey","2007-2011",2011,42083,13866
"812","Monterey","Berkshire County","MA","Monterey","2008-2012",2012,39625,23804
"813","Montgomery","Hampden County","MA","Montgomery","2005-2009",2009,61042,10134
"814","Montgomery","Hampden County","MA","Montgomery","2006-2010",2010,73438,26568
"815","Montgomery","Hampden County","MA","Montgomery","2007-2011",2011,78125,20179
"816","Montgomery","Hampden County","MA","Montgomery","2008-2012",2012,80893,17236
"817","Mount Washington","Berkshire County","MA","Mount Washington","2005-2009",2009,66250,15877
"818","Mount Washington","Berkshire County","MA","Mount Washington","2006-2010",2010,65833,14958
"819","Mount Washington","Berkshire County","MA","Mount Washington","2007-2011",2011,68750,12315
"820","Mount Washington","Berkshire County","MA","Mount Washington","2008-2012",2012,59375,26376
"821","Nahant","Essex County","MA","Nahant","2005-2009",2009,81786,16473
"822","Nahant","Essex County","MA","Nahant","2006-2010",2010,81831,16694
"823","Nahant","Essex County","MA","Nahant","2007-2011",2011,77243,17267
"824","Nahant","Essex County","MA","Nahant","2008-2012",2012,70750,12708
"825",NA,"Nantucket County","MA","Nantucket County","2005-2009",2009,80020,8075
"826",NA,"Nantucket County","MA","Nantucket County","2006-2010",2010,83347,7132
"827",NA,"Nantucket County","MA","Nantucket County","2007-2011",2011,84979,5174
"828",NA,"Nantucket County","MA","Nantucket County","2008-2012",2012,83546,5281
"829","Nantucket","Nantucket County","MA","Nantucket","2005-2009",2009,80020,8075
"830","Nantucket","Nantucket County","MA","Nantucket","2006-2010",2010,83347,7132
"831","Nantucket","Nantucket County","MA","Nantucket","2007-2011",2011,84979,5174
"832","Nantucket","Nantucket County","MA","Nantucket","2008-2012",2012,83546,5281
"833","Natick","Middlesex County","MA","Natick","2005-2009",2009,86583,2959
"834","Natick","Middlesex County","MA","Natick","2006-2010",2010,87568,3182
"835","Natick","Middlesex County","MA","Natick","2007-2011",2011,90046,4110
"836","Natick","Middlesex County","MA","Natick","2008-2012",2012,95059,4462
"837","Needham","Norfolk County","MA","Needham","2005-2009",2009,118030,8494
"838","Needham","Norfolk County","MA","Needham","2006-2010",2010,114365,8446
"839","Needham","Norfolk County","MA","Needham","2007-2011",2011,121080,8890
"840","Needham","Norfolk County","MA","Needham","2008-2012",2012,125170,7156
"841","New Ashford","Berkshire County","MA","New Ashford","2005-2009",2009,61339,7329
"842","New Ashford","Berkshire County","MA","New Ashford","2006-2010",2010,69583,22671
"843","New Ashford","Berkshire County","MA","New Ashford","2007-2011",2011,63854,8601
"844","New Ashford","Berkshire County","MA","New Ashford","2008-2012",2012,65833,12276
"845","New Bedford","Bristol County","MA","New Bedford","2005-2009",2009,36775,1652
"846","New Bedford","Bristol County","MA","New Bedford","2006-2010",2010,36172,1523
"847","New Bedford","Bristol County","MA","New Bedford","2007-2011",2011,37493,1510
"848","New Bedford","Bristol County","MA","New Bedford","2008-2012",2012,36789,1115
"849","New Braintree","Worcester County","MA","New Braintree","2005-2009",2009,87813,7350
"850","New Braintree","Worcester County","MA","New Braintree","2006-2010",2010,85417,11802
"851","New Braintree","Worcester County","MA","New Braintree","2007-2011",2011,88571,8325
"852","New Braintree","Worcester County","MA","New Braintree","2008-2012",2012,85625,7350
"853","New Marlborough","Berkshire County","MA","New Marlborough","2005-2009",2009,56250,9835
"854","New Marlborough","Berkshire County","MA","New Marlborough","2006-2010",2010,57917,11026
"855","New Marlborough","Berkshire County","MA","New Marlborough","2007-2011",2011,67528,12672
"856","New Marlborough","Berkshire County","MA","New Marlborough","2008-2012",2012,66875,9588
"857","New Salem","Franklin County","MA","New Salem","2005-2009",2009,59267,7015
"858","New Salem","Franklin County","MA","New Salem","2006-2010",2010,61471,8108
"859","New Salem","Franklin County","MA","New Salem","2007-2011",2011,64833,18998
"860","New Salem","Franklin County","MA","New Salem","2008-2012",2012,64583,11760
"861","Newbury","Essex County","MA","Newbury","2005-2009",2009,80625,16960
"862","Newbury","Essex County","MA","Newbury","2006-2010",2010,91052,11233
"863","Newbury","Essex County","MA","Newbury","2007-2011",2011,89107,13403
"864","Newbury","Essex County","MA","Newbury","2008-2012",2012,90329,15588
"865","Newburyport","Essex County","MA","Newburyport","2005-2009",2009,76148,6581
"866","Newburyport","Essex County","MA","Newburyport","2006-2010",2010,76300,8249
"867","Newburyport","Essex County","MA","Newburyport","2007-2011",2011,80861,6285
"868","Newburyport","Essex County","MA","Newburyport","2008-2012",2012,83509,7525
"869","Newton","Middlesex County","MA","Newton","2005-2009",2009,105770,4538
"870","Newton","Middlesex County","MA","Newton","2006-2010",2010,107696,4081
"871","Newton","Middlesex County","MA","Newton","2007-2011",2011,109724,4249
"872","Newton","Middlesex County","MA","Newton","2008-2012",2012,113416,6256
"873",NA,"Norfolk County","MA","Norfolk County","2005-2009",2009,80127,1010
"874",NA,"Norfolk County","MA","Norfolk County","2006-2010",2010,81027,1039
"875",NA,"Norfolk County","MA","Norfolk County","2007-2011",2011,83733,1184
"876",NA,"Norfolk County","MA","Norfolk County","2008-2012",2012,84087,1309
"877","Norfolk","Norfolk County","MA","Norfolk","2005-2009",2009,119904,13531
"878","Norfolk","Norfolk County","MA","Norfolk","2006-2010",2010,113266,12255
"879","Norfolk","Norfolk County","MA","Norfolk","2007-2011",2011,118809,13781
"880","Norfolk","Norfolk County","MA","Norfolk","2008-2012",2012,128224,15544
"881","North Adams","Berkshire County","MA","North Adams","2005-2009",2009,35020,3558
"882","North Adams","Berkshire County","MA","North Adams","2006-2010",2010,35401,3293
"883","North Adams","Berkshire County","MA","North Adams","2007-2011",2011,36424,3216
"884","North Adams","Berkshire County","MA","North Adams","2008-2012",2012,36510,2843
"885","North Andover","Essex County","MA","North Andover","2005-2009",2009,94529,7154
"886","North Andover","Essex County","MA","North Andover","2006-2010",2010,91741,9032
"887","North Andover","Essex County","MA","North Andover","2007-2011",2011,95199,8101
"888","North Andover","Essex County","MA","North Andover","2008-2012",2012,97044,8188
"889","North Attleborough","Bristol County","MA","North Attleborough","2005-2009",2009,76165,3449
"890","North Attleborough","Bristol County","MA","North Attleborough","2006-2010",2010,77669,5717
"891","North Attleborough","Bristol County","MA","North Attleborough","2007-2011",2011,80757,4801
"892","North Attleborough","Bristol County","MA","North Attleborough","2008-2012",2012,80510,5100
"893","North Brookfield","Worcester County","MA","North Brookfield","2005-2009",2009,57143,9915
"894","North Brookfield","Worcester County","MA","North Brookfield","2006-2010",2010,57196,11377
"895","North Brookfield","Worcester County","MA","North Brookfield","2007-2011",2011,64009,10089
"896","North Brookfield","Worcester County","MA","North Brookfield","2008-2012",2012,58349,12286
"897","North Reading","Middlesex County","MA","North Reading","2005-2009",2009,94250,5731
"898","North Reading","Middlesex County","MA","North Reading","2006-2010",2010,96016,6889
"899","North Reading","Middlesex County","MA","North Reading","2007-2011",2011,104069,4493
"900","North Reading","Middlesex County","MA","North Reading","2008-2012",2012,105198,4898
"901","Northampton","Hampshire County","MA","Northampton","2005-2009",2009,51018,4257
"902","Northampton","Hampshire County","MA","Northampton","2006-2010",2010,52868,3175
"903","Northampton","Hampshire County","MA","Northampton","2007-2011",2011,54413,3324
"904","Northampton","Hampshire County","MA","Northampton","2008-2012",2012,56999,3305
"905","Northborough","Worcester County","MA","Northborough","2005-2009",2009,101272,5818
"906","Northborough","Worcester County","MA","Northborough","2006-2010",2010,102969,6446
"907","Northborough","Worcester County","MA","Northborough","2007-2011",2011,104420,8577
"908","Northborough","Worcester County","MA","Northborough","2008-2012",2012,103506,8834
"909","Northbridge","Worcester County","MA","Northbridge","2005-2009",2009,72292,8705
"910","Northbridge","Worcester County","MA","Northbridge","2006-2010",2010,68016,9534
"911","Northbridge","Worcester County","MA","Northbridge","2007-2011",2011,68981,8131
"912","Northbridge","Worcester County","MA","Northbridge","2008-2012",2012,66784,7865
"913","Northfield","Franklin County","MA","Northfield","2005-2009",2009,70064,8393
"914","Northfield","Franklin County","MA","Northfield","2006-2010",2010,70606,8839
"915","Northfield","Franklin County","MA","Northfield","2007-2011",2011,61667,9211
"916","Northfield","Franklin County","MA","Northfield","2008-2012",2012,62292,9496
"917","Norton","Bristol County","MA","Norton","2005-2009",2009,75108,5360
"918","Norton","Bristol County","MA","Norton","2006-2010",2010,77786,5057
"919","Norton","Bristol County","MA","Norton","2007-2011",2011,75538,6264
"920","Norton","Bristol County","MA","Norton","2008-2012",2012,80543,4108
"921","Norwell","Plymouth County","MA","Norwell","2005-2009",2009,108526,3245
"922","Norwell","Plymouth County","MA","Norwell","2006-2010",2010,108944,6007
"923","Norwell","Plymouth County","MA","Norwell","2007-2011",2011,109167,11362
"924","Norwell","Plymouth County","MA","Norwell","2008-2012",2012,114213,11555
"925","Norwood","Norfolk County","MA","Norwood","2005-2009",2009,68128,4772
"926","Norwood","Norfolk County","MA","Norwood","2006-2010",2010,72472,4613
"927","Norwood","Norfolk County","MA","Norwood","2007-2011",2011,73838,4541
"928","Norwood","Norfolk County","MA","Norwood","2008-2012",2012,75795,4720
"929","Oak Bluffs","Dukes County","MA","Oak Bluffs","2005-2009",2009,57442,17093
"930","Oak Bluffs","Dukes County","MA","Oak Bluffs","2006-2010",2010,59156,17533
"931","Oak Bluffs","Dukes County","MA","Oak Bluffs","2007-2011",2011,78890,2391
"932","Oak Bluffs","Dukes County","MA","Oak Bluffs","2008-2012",2012,76389,20809
"933","Oakham","Worcester County","MA","Oakham","2005-2009",2009,75000,6663
"934","Oakham","Worcester County","MA","Oakham","2006-2010",2010,77396,4718
"935","Oakham","Worcester County","MA","Oakham","2007-2011",2011,79700,3829
"936","Oakham","Worcester County","MA","Oakham","2008-2012",2012,83519,4128
"937","Orange","Franklin County","MA","Orange","2005-2009",2009,41000,6573
"938","Orange","Franklin County","MA","Orange","2006-2010",2010,42809,6569
"939","Orange","Franklin County","MA","Orange","2007-2011",2011,44282,6959
"940","Orange","Franklin County","MA","Orange","2008-2012",2012,42780,8749
"941","Orleans","Barnstable County","MA","Orleans","2005-2009",2009,55919,5787
"942","Orleans","Barnstable County","MA","Orleans","2006-2010",2010,56313,5971
"943","Orleans","Barnstable County","MA","Orleans","2007-2011",2011,61897,5265
"944","Orleans","Barnstable County","MA","Orleans","2008-2012",2012,62325,6074
"945","Otis","Berkshire County","MA","Otis","2005-2009",2009,64219,17598
"946","Otis","Berkshire County","MA","Otis","2006-2010",2010,63750,18685
"947","Otis","Berkshire County","MA","Otis","2007-2011",2011,63672,12682
"948","Otis","Berkshire County","MA","Otis","2008-2012",2012,65313,12947
"949","Oxford","Worcester County","MA","Oxford","2005-2009",2009,66322,4378
"950","Oxford","Worcester County","MA","Oxford","2006-2010",2010,65845,4209
"951","Oxford","Worcester County","MA","Oxford","2007-2011",2011,68567,3153
"952","Oxford","Worcester County","MA","Oxford","2008-2012",2012,67839,5232
"953","Palmer","Hampden County","MA","Palmer","2006-2010",2010,50638,3225
"954","Palmer","Hampden County","MA","Palmer","2007-2011",2011,50864,2821
"955","Palmer","Hampden County","MA","Palmer","2008-2012",2012,50050,6783
"956","Palmer","Hampden County","MA","Palmer","2005-2009",2009,51154,2939
"957","Paxton","Worcester County","MA","Paxton","2005-2009",2009,92552,8300
"958","Paxton","Worcester County","MA","Paxton","2006-2010",2010,100333,6243
"959","Paxton","Worcester County","MA","Paxton","2007-2011",2011,105072,6098
"960","Paxton","Worcester County","MA","Paxton","2008-2012",2012,107533,6446
"961","Peabody","Essex County","MA","Peabody","2005-2009",2009,65375,2362
"962","Peabody","Essex County","MA","Peabody","2006-2010",2010,65515,2226
"963","Peabody","Essex County","MA","Peabody","2007-2011",2011,65471,3867
"964","Peabody","Essex County","MA","Peabody","2008-2012",2012,67052,2991
"965","Pelham","Hampshire County","MA","Pelham","2005-2009",2009,81389,5582
"966","Pelham","Hampshire County","MA","Pelham","2006-2010",2010,81765,7580
"967","Pelham","Hampshire County","MA","Pelham","2007-2011",2011,83667,7012
"968","Pelham","Hampshire County","MA","Pelham","2008-2012",2012,88819,5452
"969","Pembroke","Plymouth County","MA","Pembroke","2005-2009",2009,81971,6107
"970","Pembroke","Plymouth County","MA","Pembroke","2006-2010",2010,80694,7004
"971","Pembroke","Plymouth County","MA","Pembroke","2007-2011",2011,82064,5104
"972","Pembroke","Plymouth County","MA","Pembroke","2008-2012",2012,84136,4458
"973","Pepperell","Middlesex County","MA","Pepperell","2005-2009",2009,88185,12145
"974","Pepperell","Middlesex County","MA","Pepperell","2006-2010",2010,82055,7522
"975","Pepperell","Middlesex County","MA","Pepperell","2007-2011",2011,84618,9706
"976","Pepperell","Middlesex County","MA","Pepperell","2008-2012",2012,85150,6588
"977","Peru","Berkshire County","MA","Peru","2005-2009",2009,66927,5090
"978","Peru","Berkshire County","MA","Peru","2006-2010",2010,66250,11649
"979","Peru","Berkshire County","MA","Peru","2007-2011",2011,68523,8874
"980","Peru","Berkshire County","MA","Peru","2008-2012",2012,63864,14253
"981","Petersham","Worcester County","MA","Petersham","2005-2009",2009,60000,8418
"982","Petersham","Worcester County","MA","Petersham","2006-2010",2010,62411,6421
"983","Petersham","Worcester County","MA","Petersham","2007-2011",2011,65781,11423
"984","Petersham","Worcester County","MA","Petersham","2008-2012",2012,71250,17195
"985","Phillipston","Worcester County","MA","Phillipston","2005-2009",2009,72014,4122
"986","Phillipston","Worcester County","MA","Phillipston","2006-2010",2010,70493,2982
"987","Phillipston","Worcester County","MA","Phillipston","2007-2011",2011,74043,3586
"988","Phillipston","Worcester County","MA","Phillipston","2008-2012",2012,75625,3688
"989","Pittsfield","Berkshire County","MA","Pittsfield","2005-2009",2009,43507,2454
"990","Pittsfield","Berkshire County","MA","Pittsfield","2006-2010",2010,43188,2615
"991","Pittsfield","Berkshire County","MA","Pittsfield","2007-2011",2011,44513,2662
"992","Pittsfield","Berkshire County","MA","Pittsfield","2008-2012",2012,42076,1995
"993","Plainfield","Hampshire County","MA","Plainfield","2005-2009",2009,54375,11293
"994","Plainfield","Hampshire County","MA","Plainfield","2006-2010",2010,57054,8092
"995","Plainfield","Hampshire County","MA","Plainfield","2007-2011",2011,61719,12768
"996","Plainfield","Hampshire County","MA","Plainfield","2008-2012",2012,57000,8731
"997","Plainville","Norfolk County","MA","Plainville","2005-2009",2009,70469,6683
"998","Plainville","Norfolk County","MA","Plainville","2006-2010",2010,73645,4176
"999","Plainville","Norfolk County","MA","Plainville","2007-2011",2011,81371,10709
"1000","Plainville","Norfolk County","MA","Plainville","2008-2012",2012,83750,11769
"1001",NA,"Plymouth County","MA","Plymouth County","2005-2009",2009,72904,884
"1002",NA,"Plymouth County","MA","Plymouth County","2006-2010",2010,73131,895
"1003",NA,"Plymouth County","MA","Plymouth County","2007-2011",2011,74698,1004
"1004",NA,"Plymouth County","MA","Plymouth County","2008-2012",2012,74722,1182
"1005","Plymouth","Plymouth County","MA","Plymouth","2005-2009",2009,74355,2938
"1006","Plymouth","Plymouth County","MA","Plymouth","2006-2010",2010,74767,2507
"1007","Plymouth","Plymouth County","MA","Plymouth","2007-2011",2011,76631,2807
"1008","Plymouth","Plymouth County","MA","Plymouth","2008-2012",2012,77228,4241
"1009","Plympton","Plymouth County","MA","Plympton","2005-2009",2009,85523,4580
"1010","Plympton","Plymouth County","MA","Plympton","2006-2010",2010,87917,8113
"1011","Plympton","Plymouth County","MA","Plympton","2007-2011",2011,93882,13085
"1012","Plympton","Plymouth County","MA","Plympton","2008-2012",2012,99500,12756
"1013","Princeton","Worcester County","MA","Princeton","2005-2009",2009,95781,18247
"1014","Princeton","Worcester County","MA","Princeton","2006-2010",2010,102853,11351
"1015","Princeton","Worcester County","MA","Princeton","2007-2011",2011,108319,10786
"1016","Princeton","Worcester County","MA","Princeton","2008-2012",2012,109008,10089
"1017","Provincetown","Barnstable County","MA","Provincetown","2005-2009",2009,43958,8286
"1018","Provincetown","Barnstable County","MA","Provincetown","2006-2010",2010,44646,6202
"1019","Provincetown","Barnstable County","MA","Provincetown","2007-2011",2011,46547,3913
"1020","Provincetown","Barnstable County","MA","Provincetown","2008-2012",2012,46031,10134
"1021","Quincy","Norfolk County","MA","Quincy","2005-2009",2009,60067,2006
"1022","Quincy","Norfolk County","MA","Quincy","2006-2010",2010,59803,2415
"1023","Quincy","Norfolk County","MA","Quincy","2007-2011",2011,60947,1807
"1024","Quincy","Norfolk County","MA","Quincy","2008-2012",2012,60659,1986
"1025","Randolph","Norfolk County","MA","Randolph","2005-2009",2009,72734,6191
"1026","Randolph","Norfolk County","MA","Randolph","2006-2010",2010,64607,4597
"1027","Randolph","Norfolk County","MA","Randolph","2007-2011",2011,64465,5077
"1028","Randolph","Norfolk County","MA","Randolph","2008-2012",2012,62760,3246
"1029","Raynham","Bristol County","MA","Raynham","2005-2009",2009,77895,6584
"1030","Raynham","Bristol County","MA","Raynham","2006-2010",2010,75872,7476
"1031","Raynham","Bristol County","MA","Raynham","2007-2011",2011,82855,8813
"1032","Raynham","Bristol County","MA","Raynham","2008-2012",2012,77604,8732
"1033","Reading","Middlesex County","MA","Reading","2005-2009",2009,97645,4466
"1034","Reading","Middlesex County","MA","Reading","2006-2010",2010,99130,6482
"1035","Reading","Middlesex County","MA","Reading","2007-2011",2011,99131,6195
"1036","Reading","Middlesex County","MA","Reading","2008-2012",2012,102614,5360
"1037","Rehoboth","Bristol County","MA","Rehoboth","2005-2009",2009,84679,5919
"1038","Rehoboth","Bristol County","MA","Rehoboth","2006-2010",2010,87597,6934
"1039","Rehoboth","Bristol County","MA","Rehoboth","2007-2011",2011,87563,10275
"1040","Rehoboth","Bristol County","MA","Rehoboth","2008-2012",2012,82152,10070
"1041","Revere","Suffolk County","MA","Revere","2005-2009",2009,49178,2133
"1042","Revere","Suffolk County","MA","Revere","2006-2010",2010,49759,2991
"1043","Revere","Suffolk County","MA","Revere","2007-2011",2011,50592,1942
"1044","Revere","Suffolk County","MA","Revere","2008-2012",2012,49933,2377
"1045","Richmond","Berkshire County","MA","Richmond","2005-2009",2009,86202,4366
"1046","Richmond","Berkshire County","MA","Richmond","2006-2010",2010,87682,13387
"1047","Richmond","Berkshire County","MA","Richmond","2007-2011",2011,88125,12520
"1048","Richmond","Berkshire County","MA","Richmond","2008-2012",2012,87143,12732
"1049","Rochester","Plymouth County","MA","Rochester","2005-2009",2009,89554,9673
"1050","Rochester","Plymouth County","MA","Rochester","2006-2010",2010,95022,10683
"1051","Rochester","Plymouth County","MA","Rochester","2007-2011",2011,98728,7699
"1052","Rochester","Plymouth County","MA","Rochester","2008-2012",2012,97059,13231
"1053","Rockland","Plymouth County","MA","Rockland","2005-2009",2009,65915,4421
"1054","Rockland","Plymouth County","MA","Rockland","2006-2010",2010,64512,4009
"1055","Rockland","Plymouth County","MA","Rockland","2007-2011",2011,63896,2821
"1056","Rockland","Plymouth County","MA","Rockland","2008-2012",2012,64386,4572
"1057","Rockport","Essex County","MA","Rockport","2005-2009",2009,64154,17435
"1058","Rockport","Essex County","MA","Rockport","2006-2010",2010,70625,13566
"1059","Rockport","Essex County","MA","Rockport","2007-2011",2011,71447,15007
"1060","Rockport","Essex County","MA","Rockport","2008-2012",2012,68488,9659
"1061","Rowe","Franklin County","MA","Rowe","2005-2009",2009,51125,5552
"1062","Rowe","Franklin County","MA","Rowe","2006-2010",2010,46250,12102
"1063","Rowe","Franklin County","MA","Rowe","2007-2011",2011,50938,9301
"1064","Rowe","Franklin County","MA","Rowe","2008-2012",2012,50833,9855
"1065","Rowley","Essex County","MA","Rowley","2005-2009",2009,72905,4004
"1066","Rowley","Essex County","MA","Rowley","2006-2010",2010,74911,10444
"1067","Rowley","Essex County","MA","Rowley","2007-2011",2011,79449,22917
"1068","Rowley","Essex County","MA","Rowley","2008-2012",2012,87946,17504
"1069","Royalston","Worcester County","MA","Royalston","2005-2009",2009,60000,16309
"1070","Royalston","Worcester County","MA","Royalston","2006-2010",2010,60385,11646
"1071","Royalston","Worcester County","MA","Royalston","2007-2011",2011,59609,15130
"1072","Royalston","Worcester County","MA","Royalston","2008-2012",2012,58359,12408
"1073","Russell","Hampden County","MA","Russell","2005-2009",2009,58917,6163
"1074","Russell","Hampden County","MA","Russell","2006-2010",2010,57750,5037
"1075","Russell","Hampden County","MA","Russell","2007-2011",2011,60398,6345
"1076","Russell","Hampden County","MA","Russell","2008-2012",2012,65139,7040
"1077","Rutland","Worcester County","MA","Rutland","2005-2009",2009,85053,10494
"1078","Rutland","Worcester County","MA","Rutland","2006-2010",2010,81295,9780
"1079","Rutland","Worcester County","MA","Rutland","2007-2011",2011,83734,10923
"1080","Rutland","Worcester County","MA","Rutland","2008-2012",2012,86453,10075
"1081","Salem","Essex County","MA","Salem","2005-2009",2009,56782,4186
"1082","Salem","Essex County","MA","Salem","2006-2010",2010,56979,2718
"1083","Salem","Essex County","MA","Salem","2007-2011",2011,56203,3876
"1084","Salem","Essex County","MA","Salem","2008-2012",2012,56580,3817
"1085","Salisbury","Essex County","MA","Salisbury","2005-2009",2009,54666,6540
"1086","Salisbury","Essex County","MA","Salisbury","2006-2010",2010,62917,8247
"1087","Salisbury","Essex County","MA","Salisbury","2007-2011",2011,68194,3578
"1088","Salisbury","Essex County","MA","Salisbury","2008-2012",2012,73384,6922
"1089","Sandisfield","Berkshire County","MA","Sandisfield","2005-2009",2009,65357,6135
"1090","Sandisfield","Berkshire County","MA","Sandisfield","2006-2010",2010,62411,7478
"1091","Sandisfield","Berkshire County","MA","Sandisfield","2007-2011",2011,60104,6834
"1092","Sandisfield","Berkshire County","MA","Sandisfield","2008-2012",2012,62708,9500
"1093","Sandwich","Barnstable County","MA","Sandwich","2005-2009",2009,79369,5541
"1094","Sandwich","Barnstable County","MA","Sandwich","2006-2010",2010,83325,4048
"1095","Sandwich","Barnstable County","MA","Sandwich","2007-2011",2011,82485,4354
"1096","Sandwich","Barnstable County","MA","Sandwich","2008-2012",2012,82917,3344
"1097","Saugus","Essex County","MA","Saugus","2005-2009",2009,68658,4375
"1098","Saugus","Essex County","MA","Saugus","2006-2010",2010,71023,4107
"1099","Saugus","Essex County","MA","Saugus","2007-2011",2011,75258,3671
"1100","Saugus","Essex County","MA","Saugus","2008-2012",2012,75910,4486
"1101","Savoy","Berkshire County","MA","Savoy","2005-2009",2009,57031,10913
"1102","Savoy","Berkshire County","MA","Savoy","2006-2010",2010,55500,11814
"1103","Savoy","Berkshire County","MA","Savoy","2007-2011",2011,58068,15468
"1104","Savoy","Berkshire County","MA","Savoy","2008-2012",2012,57000,17134
"1105","Scituate","Plymouth County","MA","Scituate","2005-2009",2009,88883,9342
"1106","Scituate","Plymouth County","MA","Scituate","2006-2010",2010,86723,10255
"1107","Scituate","Plymouth County","MA","Scituate","2007-2011",2011,89485,9117
"1108","Scituate","Plymouth County","MA","Scituate","2008-2012",2012,92287,11597
"1109","Seekonk","Bristol County","MA","Seekonk","2005-2009",2009,79127,6452
"1110","Seekonk","Bristol County","MA","Seekonk","2006-2010",2010,76283,7298
"1111","Seekonk","Bristol County","MA","Seekonk","2007-2011",2011,78032,8579
"1112","Seekonk","Bristol County","MA","Seekonk","2008-2012",2012,75267,11292
"1113","Sharon","Norfolk County","MA","Sharon","2005-2009",2009,115643,9266
"1114","Sharon","Norfolk County","MA","Sharon","2006-2010",2010,115172,6747
"1115","Sharon","Norfolk County","MA","Sharon","2007-2011",2011,121265,8086
"1116","Sharon","Norfolk County","MA","Sharon","2008-2012",2012,127647,10754
"1117","Sheffield","Berkshire County","MA","Sheffield","2005-2009",2009,49922,8511
"1118","Sheffield","Berkshire County","MA","Sheffield","2006-2010",2010,47145,6937
"1119","Sheffield","Berkshire County","MA","Sheffield","2007-2011",2011,52181,8324
"1120","Sheffield","Berkshire County","MA","Sheffield","2008-2012",2012,55278,17230
"1121","Shelburne","Franklin County","MA","Shelburne","2005-2009",2009,55197,8382
"1122","Shelburne","Franklin County","MA","Shelburne","2006-2010",2010,63542,11519
"1123","Shelburne","Franklin County","MA","Shelburne","2007-2011",2011,59145,13622
"1124","Shelburne","Franklin County","MA","Shelburne","2008-2012",2012,59567,12791
"1125","Sherborn","Middlesex County","MA","Sherborn","2005-2009",2009,162426,31964
"1126","Sherborn","Middlesex County","MA","Sherborn","2006-2010",2010,145250,22242
"1127","Sherborn","Middlesex County","MA","Sherborn","2007-2011",2011,152083,23288
"1128","Sherborn","Middlesex County","MA","Sherborn","2008-2012",2012,151944,20554
"1129","Shirley","Middlesex County","MA","Shirley","2005-2009",2009,72530,5015
"1130","Shirley","Middlesex County","MA","Shirley","2006-2010",2010,72598,11800
"1131","Shirley","Middlesex County","MA","Shirley","2007-2011",2011,71146,15846
"1132","Shirley","Middlesex County","MA","Shirley","2008-2012",2012,69750,20933
"1133","Shrewsbury","Worcester County","MA","Shrewsbury","2005-2009",2009,83608,4111
"1134","Shrewsbury","Worcester County","MA","Shrewsbury","2006-2010",2010,85697,4475
"1135","Shrewsbury","Worcester County","MA","Shrewsbury","2007-2011",2011,88985,5823
"1136","Shrewsbury","Worcester County","MA","Shrewsbury","2008-2012",2012,92006,4579
"1137","Shutesbury","Franklin County","MA","Shutesbury","2005-2009",2009,76250,15234
"1138","Shutesbury","Franklin County","MA","Shutesbury","2006-2010",2010,67500,12931
"1139","Shutesbury","Franklin County","MA","Shutesbury","2007-2011",2011,67708,11736
"1140","Shutesbury","Franklin County","MA","Shutesbury","2008-2012",2012,69167,9702
"1141","Somerset","Bristol County","MA","Somerset","2005-2009",2009,65171,3211
"1142","Somerset","Bristol County","MA","Somerset","2006-2010",2010,67077,3944
"1143","Somerset","Bristol County","MA","Somerset","2007-2011",2011,69449,3292
"1144","Somerset","Bristol County","MA","Somerset","2008-2012",2012,70449,4800
"1145","Somerville","Middlesex County","MA","Somerville","2005-2009",2009,62575,2467
"1146","Somerville","Middlesex County","MA","Somerville","2006-2010",2010,61731,2402
"1147","Somerville","Middlesex County","MA","Somerville","2007-2011",2011,64480,2990
"1148","Somerville","Middlesex County","MA","Somerville","2008-2012",2012,64603,3144
"1149","South Hadley","Hampshire County","MA","South Hadley","2005-2009",2009,62465,4512
"1150","South Hadley","Hampshire County","MA","South Hadley","2006-2010",2010,62236,5170
"1151","South Hadley","Hampshire County","MA","South Hadley","2007-2011",2011,62532,3210
"1152","South Hadley","Hampshire County","MA","South Hadley","2008-2012",2012,61034,2172
